name,brand,price,features,storage
iPhone 15,Apple,1000,5G Support; OLED Display; A16 Bionic Chip; Dual Camera; 6.1-inch display; 128GB storage; Face ID; iOS 17,128
iPhone 15 Pro,Apple,1250,High-Resolution Camera; OLED Display; A16 Bionic Chip; Triple Camera; 6.1-inch display; 256GB storage; Face ID; iOS 17,256
iPhone 16,Apple,1300,Wireless Charging; OLED Display; A17 Bionic Chip; Triple Camera; 6.1-inch display; 512GB storage; Face ID; iOS 17,512
iPhone 14 Pro,Apple,999,MediaTek Dimensity; OLED Display; A16 Bionic Chip; Triple Camera; 6.1-inch display; 512GB storage; Face ID; iOS 16,512
iPhone 14,Apple,899,MediaTek Dimensity; LCD Display; A15 Bionic Chip; Dual Camera; 6.1-inch display; 512GB storage; Face ID; iOS 16,512
iPhone 13 Pro Max,Apple,1099,MediaTek Dimensity; OLED Display; A15 Bionic Chip; Triple Camera; 6.7-inch display; 256GB storage; Face ID; iOS 15,256
iPhone 14 Pro Max,Apple,1299,High-Resolution Camera; OLED Display; A16 Bionic Chip; Triple Camera; 6.7-inch display; 128GB storage; Face ID; iOS 16,128
iPhone 16 Pro Max,Apple,1399,High-Resolution Camera; OLED Display; A17 Bionic Chip; Triple Camera; 6.7-inch display; 128GB storage; Face ID; iOS 17,128
iPhone 13,Apple,799,5G Support; LCD Display; A15 Bionic Chip; Dual Camera; 6.1-inch display; 256GB storage; Face ID; iOS 15,256
iPhone 13 Pro,Apple,899,Wireless Charging; OLED Display; A15 Bionic Chip; Triple Camera; 6.1-inch display; 512GB storage; Face ID; iOS 15,512
Galaxy S24,Samsung,1705,Headphone Jack; AMOLED Display; Exynos 2200; Quad Camera; 6.2-inch display; 512GB storage; One UI 5.1,512
Galaxy S24 Ultra,Samsung,2594,Wireless Charging; AMOLED Display; Exynos 2200; Quad Camera; 6.8-inch display; 256GB storage; One UI 5.1,256
Galaxy S24+,Samsung,1446,Wireless Charging; AMOLED Display; Exynos 2200; Triple Camera; 6.7-inch display; 256GB storage; One UI 5.1,256
Galaxy S24FE,Samsung,1383,5G Support; AMOLED Display; Exynos 2200; Triple Camera; 6.4-inch display; 256GB storage; One UI 5.1,256
Galaxy S23 FE,Samsung,919,Headphone Jack; AMOLED Display; Snapdragon 8 Gen 1; Triple Camera; 6.4-inch display; 128GB storage; One UI 5.0,128
Galaxy S23,Samsung,887,5G Support; AMOLED Display; Snapdragon 8 Gen 1; Triple Camera; 6.1-inch display; 128GB storage; One UI 5.0,128
Galaxy S20,Samsung,889,Headphone Jack; AMOLED Display; Exynos 990; Triple Camera; 6.2-inch display; 512GB storage; One UI 4.1,512
Galaxy S10,Samsung,801,5G Support; AMOLED Display; Exynos 9820; Triple Camera; 6.1-inch display; 256GB storage; One UI 4.1,256
Galaxy S10+,Samsung,599,5G Support; AMOLED Display; Exynos 9820; Triple Camera; 6.4-inch display; 128GB storage; One UI 4.1,128
Galaxy S9,Samsung,549,Wireless Charging; AMOLED Display; Exynos 9810; Dual Camera; 5.8-inch display; 512GB storage; One UI 4.1,512
Google Pixel 9 Pro XL,Google,1099,5G Support; OLED Display; Tensor Chip; Quad Camera; 6.7-inch display; 256GB storage; Android 14,256
Google Pixel 9 Pro,Google,999,Headphone Jack; OLED Display; Tensor Chip; Triple Camera; 6.1-inch display; 512GB storage; Android 14,512
Google Pixel 9,Google,799,5G Support; OLED Display; Tensor Chip; Dual Camera; 6.1-inch display; 128GB storage; Android 14,128
Google Pixel 8,Google,699,5G Support; OLED Display; Tensor Chip; Dual Camera; 6.2-inch display; 256GB storage; Android 14,256
